product_name,brands,ingredients_text,
"Healthy Functional Drink, Chamomile Sweet Fennel Lemon Balm",Upload,"Purified water, passion fruit juice concentrate, natural extracts (chamomile, sweet fennel, lemon balm), vitamins (a, b6, b12, c, d, e), natural flavors, fruit and vegetable juice for color, citric acid, sucralose, acesulfame potassium.",
healthy choice power bowl,,"seasoned cooked chicken (chicken breast, water, olive oil, brown sugar, sea salt, natural flavorings), cauliflower, sauce (tomatoes, water, tomato puree, olive oil, tomato paste, onions, tapioca starch, contains 2% or less of: garlic, salt, organic agave syrup, oregano, basil, parsley, black pepper), broccoli, red bell peppers, chard, kale, spinach, parmesan cheese (part skim milk, cheese culture, salt, enzymes). contains: milk tm conagra&quot;",
Nature s path flax plus pumpkin granola healthy organic,,,
Healthy grain,,,
"1mm Calorie Popped Popcorn, Healthy Pop Butter",Jolly Time,"100% whole grain non-gmo pop corn, partially hydrogenated soybean oil, salt, natural flavors, annatto for coloring, soy lecithin",
"Healthy multi-grain bread, multi-grain",Oroweat,"whole wheat flour, water, wheat gluten, sugar, bulgur wheat, cellulose fiber, flaxseed, cornmeal, oats, brown rice, black , white sesame seeds, soybean oil, yeast, salt, preservatives (calcium propionate, sorbic acid), datem, monoglycerides, grain vinegar, poppy seeds, soy, calcium sulfate, reb a (stevia leaf sweetener), soy lecithin, whey,",
"Classic swiss whole grains, flax seeds, dates raisins, almonds, cranberries, classic swiss",Evoke Healthy Foods,"organic oats, organic raisins, organic almonds, organic flaxseed, organic cranberries (organic cranberries, organic cane sugar, organic sunflower oil), organic dates (organic dates, organic rice flour)",
lewis healthy life wheat hot dog buns,,"fel 9, carbohydrate 4 protein 4 ingrediente water unbleached enriched wheat flour [flour, barley malt niacin vitam n b3, iron, th amin monon trate (vitamn b1), rihoflav (vitamin b2, folic acid (vitamin 89, sugar, scy fiber, yeast, whole wheat flour vheat gluten contains 2% 0 less of the following salt, molasses, dough conditioners (ethoxylated mono-and diglycer des sodium stearoyl lactylate mond-amd diglycerides ascorbic acid), wheat starch calcium propionate and sorbic ac d to retain fres-ness yeast nutrients (caldum sulfate mondcalcaum phosphate, ammonium sulfate, citric acid1, fumaric acid, hydrogenated vegetable oil soy lecithi contains soy, wheat, wergy avisory produced on the sarme bakery equipment as baked goods contaning milk eggs, ruls or seeds, therefore, this product may 09/24/2013 - 9 buns",
Healthy Canadian Style Bacon,,,
HEALTHY CHOICE Asian Stir Fry Steamer,,"vegetables (broccoli, carrots, edamame, onions, red bell peppers), seasoned cooked chicken (chicken breast, water, sugar, sea salt, olive oil, isolated soy protein, soy fiber, rice starch, natural flavoring), sesame soy sauce (water, soy sauce [water, wheat, soybeans, salt, alcohol, vinegar, lactic acid], sugar, rice vinegar, sake wine [contains salt], corn starch, garlic puree, sesame oil, ginger puree, locust bean gum), contains: soy, wheat,",
"HEALTHY CHOICE Cafe Steamers Sweet And Sour Chicken, 10 OZ",Healthy choice,"cooked rice (water, white rice), chicken breast fritters (cooked chicken [chicken breast, water, modified corn starch, salt, potassium chloride, potassium phosphate], batter [water, bleached wheat flour, yellow corn flour, leavening {sodium bicarbonate, sodium aluminum phosphate}, whey, salt, whole eggs, guar gum], predust [enriched wheat flour {wheat flour, niacin, ferrous sulfate (iron), thiamine mononitrate, riboflavin, folic acid}, soybean oil, salt, natural flavor]), water, red and green bell peppers, sugar, onions, pineapple, pineapple juice concentrate, contains 2% or less of: rice vinegar, modified corn starch, soy sauce (water, wheat, soybeans, salt, alcohol, vinegar, lactic acid), garlic, tomato paste, salt, cooking wine (white wine, natural flavor, salt), ginger, canola oil, chili paste (red chili peppers, distilled vinegar, salt, xanthan gum), citric acid, contains: egg, milk, soy, wheat,",
Perfectly protein heart healthy tea & soy beverage,bolthouse farms,"soy milk from concentrate (water, soy milk concentrate), cane sugar, soy protein isolate, natural flavors, acacia gum, sea salt, green tea (water, green tea extract),",
Healthy energy drink mix,,,
Nature s path hemp hearts granola healthy organic,,,
