product_name,brands,ingredients_text,
"HEALTHY CHOICE Classic Chicken Noodle Dinner, 10.6 OZ",,"Cooked noodles (water, enriched wheat flour [durum wheat flour, niacin, ferrous sulfate {iron}, thiamine mononitrate, riboflavin, folic acid], whole eggs, soybean oil), water, cooked chicken (white meat chicken, water, olive oil, contains 2% or less of: isolated soy protein product [isolated soy protein, modified potato starch, corn starch, carrageenan, soy lecithin], dextrose, potassium chloride, salt, sodium phosphates, flavoring), carrots, celery, sherry wine with garlic, contains 2% or less of: soybean oil, modified corn starch, chicken seasoning (contains chicken meat and natural juices, salt, chicken fat, sugar, hydrolyzed [corn and wheat gluten, soy] protein, dried whey, maltodextrin, yeast extract, natural flavoring, disodium inosinate and guanylate, extractives of turmeric and annatto), nonfat dry milk, flavoring, sea salt, xanthan gum, citric acid, guar gum. contains: egg, milk, soy, wheat.",
"HEALTHY CHOICE Country Fried Chicken Dinner, 11.5 OZ",,"Breaded Chicken Patty (Chicken Breast, Water, Breader [Wheat Flour, Salt, Spices, Soybean Oil, Dextrose, Yeast Extract, Dried Whey, Colored With Oleoresin Paprika], Batter [Yellow Corn Flour, Corn Starch, Spices, Sugar, Salt, Autolyzed Yeast Extract, Leavening {Sodium Acid Pyrophosphate, Sodium Bicarbonate, Monocalcium Phosphate}, Garlic Powder, Guar Gum], Contains 2% Or Less Of: Soy Protein Isolate, Modified Potato Starch, Modified Corn Starch, Salt, Flavorings, Sodium Tripolyphosphate, Soy Lecithin, Fried In Vegetable Oil), Corn, Mashed Potatoes (Water, Potatoes, Dehydrated Potato Granules, Contains 2% Or Less Of: Butter [Cream, Salt], Soybean Oil, Nonfat Dry Milk, Potassium Chloride, Sea Salt, Mono - And Diglycerides, Black Pepper, Citric Acid, Disodium Dihydrogen Pyrophosphate [To Protect Color], Xanthan Gum, Guar Gum, BHT, Sodium Bisulfite), Gravy (Water, Cream, Modified Corn Starch, Contains 2% Or Less Of: Soybean Oil, Nonfat Dry Milk, Chicken Flavor [Chicken Broth, Salt, Chicken Fat], Chicken Glace [Chicken Broth, Cooked Chicken, Chicken Fat, Salt, Flavorings], Onions, Potassium Chloride, Sea Salt, Chardonnay Wine, Black Pepper, Xanthan Gum, Canola Oil, Garlic, Butter [Cream, Salt], Guar Gum), Apples (Citric Acid And Ascorbic Acid To Retain Color), Water, Brown Sugar, Modified Food Starch, Cream, Acetylated Monoglycerides, Salt, Alcohol, Natural Flavors. Contains: Milk, Soy, Wheat.",
"HEALTHY CHOICE Spaghetti And Meatballs Dinner, 10.5 OZ",,"Cooked pasta (water, enriched wheat flour [durum wheat flour, niacin, ferrous sulfate {iron}, thiamine mononitrate, riboflavin, folic acid], soybean oil, egg whites), cooked meatballs (pork, beef, water, onions, breader [enriched wheat flour {bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid}, durum wheat flour, leavening {sodium bicarbonate, sodium acid pyrophosphate}, yeast], textured soy protein [soy protein, soy carbohydrate, caramel color], contains 2% or less of: soy protein concentrate, tomato paste, salt, flavorings, potassium chloride, caramel color, soy lecithin), water, tomatoes in puree (tomatoes, tomato puree, citric acid), tomato paste, contains 2% or less of: onions, modified corn starch, garlic, sugar, sea salt, flavorings, olive oil. contains: egg, soy, wheat.",
"HEALTHY CHOICE Home Style Salisbury Steak Dinner, 11.5 OZ",,"Salisbury Steak And Textured Vegetable Protein Patty (Beef, Water, Pork, Textured Soy Protein Concentrate [Soy Protein Concentrate, Isolated Soy Product, Caramel Color], Contains 2% Or Less Of: Rolled Oats, Flavorings, Rochester Sauce [Distilled Vinegar, Corn Syrup, Water, Salt, Garlic Powder, Spices, Tamarind, Natural Flavor], Modified Corn Starch, Beef Flavor [Contains Beef Extract, Yeast Extract, Salt, Flavor, Maltodextrin, Lactic Acid, Citric Acid], Salt, Potassium Chloride, Soy Lecithin), Gravy (Water, Modified Corn Starch, Onions, Beef Flavor [Cooked Beef, Yeast Extract, Beef Tallow, Beef Extract, Flavoring, Salt, Sugar, Vegetable Juice Concentrates {Onion, Carrot, Celery}, Lactic Acid], Contains 2% Or Less Of: Butter [Cream, Salt], Burgundy Wine, Potassium Chloride, Canola Oil, Garlic, Sea Salt, Rochester Sauce [Distilled Vinegar, Corn Syrup, Water, Salt, Garlic Powder, Spices, Tamarind, Natural Flavor], Black Pepper), Green Beans, Russet Potatoes, Apples (Citric Acid And Ascorbic Acid To Retain Color), Water, Brown Sugar, Modified Food Starch, Cream, Acetylated Monoglycerides, Salt, Alcohol, Natural Flavors. Contains: Milk, Soy.",
"HEALTHY CHOICE Premium Mocha Swirl Bars, 15 FL OZ",,"Water, Skim Milk, Sugar, Corn Syrup, Cream, Coffee Base (Water, Sugar, Coffee, Natural & Artificial Flavoring, Caramel Color, Potassium Sorbate [Preservative]), Milk Protein Concentrate, Contains less than 2% of the following: Cocoa (Processed with Alkali), Maltodextrin, Stabilizer (Maltodextrin, Whey, Locust Bean Gum, Cellulose Gum, Mono & Diglycerides, Guar Gum, Food Starch, Polysorbate 80, Carrageenan), Mono - and Diglycerides, Carob Bean Gum, Guar Gum, Calcium Carbonate, Vitamin A Palmitate, Carrageenan, Natural and Artificial Vanilla Flavor. CONTAINS: MILK",
"HEALTHY CHOICE Pomegranate Blueberry Yogurt Bar, 15 FL OZ",,"Nonfat Milk, Sugar, Pomegranate Blueberry Flavor [Sugar, Water, Blueberry Puree, Pomegranate Juice Concentrate, Natural Flavor, Phosphoric Acid, Black Carrot and Black Currant Juice [for color], Cellulose Gum, Ascorbic Acid, Green Tea Powder], Corn Syrup, Cream, Maltodextrin, Contains 2% or less of: Milk Protein Concentrate, Lactic acid, Mono & Diglycerides, Guar Gum, Locust Bean Gum, Cellulose Gum, Cornstarch, Carrageenan, Calcium Carbonate, Vitamin A Palmitate, Yogurt Culture._x000D_CONTAINS: MILK_x000D",
HEALTHY CHOICE Strawberry Yogurt Bars,,"Nonfat Milk, Sugar, Strawberries, Corn Syrup, Cream, Maltodextrin, Contains 2% or less of: Milk Protein Concentrate, Lactic Acid, Mono & Diglycerides, Guar Gum, Locust Bean Gum, Cellulose Gum, Cornstarch, Carrageenan, Calcium Carbonate, Natural Flavors, Vitamin A Palmitate, Red Beet Concentrate (For Color), Yogurt Cultures._x000D_CONTAINS: MILK.",
"HEALTHY CHOICE Cafe Steamers Balsamic Garlic Chicken, 9.5 OZ",,"Cooked Pasta (Water, Pasta [Whole Grain Wheat Flour {UltragrainÃ‚Â®}, Durum Wheat Semolina, Egg White], Soybean Oil), Cooked Chicken (White Meat Chicken, Water, Olive Oil, Contains 2% Or Less Of: Isolated Soy Protein Product [Isolated Soy Protein, Modified Potato Starch, Corn Starch, Carrageenan, Soy Lecithin], Dextrose, Potassium Chloride, Salt, Sodium Phosphates, Flavoring), Water, Mushrooms, Spinach, Onions, Tomatoes, Sherry Wine, Red Bell Peppers, Contains 2% Or Less Of: Balsamic Vinegar, Sugar, Onion Puree (Onion, Dried Cane Syrup, Sea Salt), Garlic Paste (Garlic, Water, Phosphoric Acid, Xanthan Gum, Sorbic Acid, Garlic Extract), Modified Corn Starch, Chicken Seasoning (Chicken Meat And Natural Juices, Salt, Chicken Fat, Sugar, Hydrolyzed [Corn And Wheat Gluten, Soy] Protein, Dried Whey, Maltodextrin, Yeast Extract, Natural Flavoring, Disodium Inosinate And Guanylate, Natural Extractives Of Turmeric And Annatto), Salt, Parsley, Black Pepper, Ground Fennel. Contains: Egg, Milk, Soy, Wheat.",
"HEALTHY CHOICE Greek Blueberry Yogurt Cup, 12 FL OZ",,"Nonfat Milk, Cultured Nonfat Milk, Sugar, Blueberries, Cream, Polydextrose, Maltodextrin, Milk Protein Concentrate, Less Than 2% Of: Gelatin, Dextrose, Cellulose Gel, Citric Acid, Modified Corn Starch, Propylene Glycol Monoesters, Mono - and Diglycerides, Natural Flavor (Contains Molasses, Sugar) , Cellulose Gum, Carrageenan, Calcium Phosphate. Contains: Milk.",
"HEALTHY CHOICE Portabella Marsala Pasta, 9 OZ",,"Cooked Pasta (Water, Whole Grain Wheat Flour [UltragrainÂ®], Durum Wheat Semolina, Soybean Oil, Egg White), Water, Baby Portabella Mushrooms, Contains 2% Or Less Of: Parmesan Cheese (Part Skim Milk, Cheese Culture, Salt, Enzymes), Marsala Wine, Corn Starch, Garlic Puree (Garlic, Dried Cane Syrup), Onion Puree (Onions, Dried Cane Syrup, Sea Salt), Soybean Oil, Salt, Maltodextrin, Yeast Extract, Sugar, Canola Oil, Whey Powder, Onion Powder, Natural Flavors (Contains Soy), Spice, Turmeric, Parsley, Tapioca Starch, Xanthan Gum, Mushroom Juice Concentrate, Potassium Chloride, Sea Salt, Mushroom Powder. Contains Egg, Milk, Soy, Wheat.",
"HEALTHY CHOICE Portabella Spinach Parmesan Dinner, 9.8 OZ",,"Cooked pasta (water, whole grain wheat flour [ultragrainâ®], durum wheat semolina, egg white), water, baby portabella mushrooms, chablis wine, spinach, red bell peppers, tomatoes, contains 2% or less of: corn starch, soybean oil, garlic puree, parmesan cheese (part skim milk, cheese culture, salt, enzymes), onion puree, lemon juice concentrate, sugar, parsley, sea salt, yeast extract, spices, canola oil, dried onion, whey powder, dried garlic, salt, natural flavor (contains soy), turmeric, dried red bell pepper. contains: egg, milk, soy, wheat.",
"HEALTHY CHOICE Peach BBQ Chicken And Potatoes, 9.75 OZ",,"Potatoes (Red Potatoes, Disodium Dihydrogen Pyrophosphate), Cooked Chicken (White Meat Chicken, Water, Olive Oil, Contains 2% Or Less Of: Isolated Soy Protein Product [Isolated Soy Protein, Modified Potato Starch, Corn Starch, Carrageenan, Soy Lecithin], Dextrose, Potassium Chloride, Salt, Sodium Phosphates, Flavoring), Water, Peaches With Citric And Ascorbic Acid To Retain Color, Green Beans, Red Bell Peppers, Tomato Paste, Barbecue Seasoning (Brown Sugar, Sugar, Molasses, Worcestershire Sauce Powder [Corn Syrup, Salt, Caramel Color, Garlic, Sugar, Spices, Soy Sauce {Naturally Fermented Wheat And Soybean, Salt, Maltodextrin, Caramel Color}, Palm Oil, Tamarind, Natural Flavor], Maltodextrin, Sodium Diacetate, Spices Including Paprika And Turmeric, Natural Smoke Flavor [Contains Maltodextrin], Citric Acid, Lactose [Milk], Dehydrated Onion And Garlic), Molasses, Contains 2% Or Less Of: Sugar, Bourbon, Modified Corn Starch, Apple Cider Vinegar, Salt, Natural Mesquite Smoke Flavor, Potassium Chloride, Dehydrated Garlic, Black Pepper. Contains: Milk, Soy, Wheat.",
"HEALTHY CHOICE Asian Potstickers, 9.9 OZ",,"Vegetable potstickers (wheat flour, water, cabbage, vermicelli [water, green mung beans], bulgur wheat [water, bulgur wheat], precooked long grain rice, water chestnuts, green beans, onion, carrots, soy sauce [water, wheat, soybeans, salt], corn starch, toasted sesame oil, sugar, salt, xanthan gum, spice, soybean oil), cooked rice (water, white rice), water, sugar, carrots, peas, red bell peppers, rice vinegar, sake wine (contains salt), soy sauce (water, wheat, soybeans, salt, alcohol, vinegar, lactic acid), contains 2% or less of: corn starch, garlic puree, ginger, locust bean gum, spices. contains: soy, wheat.",
"HEALTHY CHOICE Cafe Steamer Ravioli And Chicken Marinara, 10 OZ",Healthy Choice,"Stuffed cheese & spinach ravioli (whole wheat [ultragrainâ®] and durum wheat flour, water, ricotta cheese [whey, cream, vinegar, carrageenan], ricotta cheese [whey, skim milk, vinegar, xanthan gum, vitamin a palmitate], spinach, whole eggs, asiago cheese [cultured milk, salt, enzymes], parmesan cheese [part skim milk, cheese culture, salt, enzymes], corn starch, romano cheese made from cow's milk [cultured milk, salt, enzymes], salt, spice), tomatoes, cooked chicken (chicken breast, water, olive oil, contains 2% or less of: isolated soy protein product [isolated soy protein, modified potato starch, corn starch, carrageenan, soy lecithin], dextrose, potassium chloride, salt, sodium phosphates, flavoring), water, spinach, onions, tomato puree, tomato paste, contains 2% or less of: sugar, parmesan cheese (part skim milk, cheese culture, salt, enzymes), modified corn starch, garlic, flavorings, potassium chloride, sea salt, olive oil, citric acid. contains: egg, milk, soy, wheat.",
"HEALTHY CHOICE Simply Steamers Grilled Basil Chicken, 9.9 OZ",,"Vegetables (artichokes, red bell peppers, yellow squash, spinach). cooked penne pasta (water, whole grain pasta [whole grain wheat flour, durum semolina, egg white], sunflower oil). basil lemon sauce (water, garlic, corn starch, onions, olive oil, contains 2% or less of: basil, salt, chardonnay wine, sugar, lemon juice concentrate, chicken glace [chicken broth, cooked chicken, chicken fat, salt, natural flavorings], canola oil, butter [cream, salt], black pepper). seasoned cooked chicken (chicken breast, water, sugar, sea salt, olive oil, isolated soy protein, soy fiber, rice starch, natural flavoring). basil. contains: egg, milk, soy, wheat.",
HEALTHY CHOICE Pineapple Chicken,,"Cooked rice (water, brown rice), chicken (chicken breast, water, olive oil, contains 2% or less of: isolated soy protein product [isolated soy protein, modified potato starch, corn starch, carrageenan, soy lecithin], dextrose, potassium chloride, salt, sodium phosphate, paprika, caramel color, flavoring), water, pineapple, water chestnuts, red bell pepper, edamame, brown sugar, pineapple juice concentrate, contains 2% or less of: rice vinegar, soy sauce (water, wheat, soybeans, salt, alcohol, vinegar, lactic acid), modified corn starch, chicken seasoning (chicken meat and natural juices, salt, chicken fat, sugar, hydrolyzed [corn and wheat gluten, soy] protein, dried whey, maltodextrin, yeast extract, natural flavoring, disodium inosinate and guanylate, extractives of turmeric and annatto), ginger, garlic puree, red pepper, turmeric. contains: milk, soy, wheat.",
"HEALTHY CHOICE Cafe Steamers Chicken And Noodles, 10 OZ",,"Cooked noodles (water, enriched wheat flour [durum wheat semolina, niacin, ferrous sulfate {iron} thiamine mononitrate, riboflavin, folic acid], whole eggs, soybean oil), water, cooked chicken (chicken breast, water, olive oil, contains 2% or less of: isolated soy protein product [isolated soy protein, modified potato starch, corn starch, carrageenan, soy lecithin], dextrose, potassium chloride, salt, sodium phosphates, flavoring), carrots, celery, contains 2% or less of: chicken flavor (chicken broth, salt, chicken fat), modified corn starch, soybean oil, nonfat dry milk, flavorings, potassium chloride, sea salt, xanthan gum, guar gum. contains: egg, milk, soy, wheat.",
"HEALTHY CHOICE Cafe Steamers Chicken Pesto, 9.9 OZ",,"Cooked pasta (water, enriched wheat flour [durum wheat semolina, niacin, ferrous sulfate {iron}, thiamine mononitrate, riboflavin, folic acid], soybean oil, egg white), cooked chicken (chicken breast, water, olive oil, contains 2% or less of: isolated soy protein product [isolated soy protein, modified potato starch, corn starch, carrageenan, soy lecithin], dextrose, potassium chloride, salt, sodium phosphates, flavoring), water, yellow and green zucchini, spinach, chardonnay wine, contains 2% or less of: parmesan cheese (part skim milk, cheese culture, salt, enzymes), seasoning (basil, garlic, sugar, olive oil, sea salt), modified corn starch, onion puree (onion, sugar, salt), soybean oil, garlic puree, salt, shallots, parsley, nonfat dry milk, basil, black pepper, xanthan gum, guar gum. contains: egg, milk, soy, wheat.",
"HEALTHY CHOICE Spaghetti And Meatballs Cafe Steamers, 9.5 OZ",,"Cooked pasta (water, enriched wheat flour [durum wheat semolina, niacin, ferrous sulfate {iron}, thiamine mononitrate, riboflavin, folic acid], soybean oil, egg white), cooked meatballs with glaze (meatball [pork, beef, water, bread crumb {unbleached wheat flour, sugar, salt, yeast}, onions, parmesan cheese {part skim milk, cheese culture, salt, enzymes}, tomato paste, isolated soy protein, potassium chloride, sea salt, flavoring], glaze [water, tomato paste, sugar]), water, tomatoes in puree (tomatoes, tomato puree, citric acid), tomato paste, contains 2% or less of: onions, modified corn starch, garlic, sugar, flavorings, potassium chloride, olive oil, sea salt. contains: egg, milk, soy, wheat.",
"HEALTHY CHOICE Cafe Steamers Cajun Chicken Shrimp, 9.9 OZ",Healthy Choice,"Cooked rice (water, white rice), water, cooked chicken (chicken breast, water, olive oil, contains 2% or less of: isolated soy protein product [isolated soy protein, modified potato starch, corn starch, carrageenan, soy lecithin], dextrose, potassium chloride, salt, sodium phosphates, flavoring), cooked shrimp (shrimp, water, sodium tripolyphosphate, salt), green and red bell peppers, tomatoes in juice (tomatoes, tomato juice, calcium chloride, citric acid), tomato paste, onions, celery, contains 2% or less of: modified corn starch, seasoning (yeast extract, onion powder, potassium chloride, chili pepper powder, spices, paprika), garlic puree, salt, sugar, red pepper sauce (distilled vinegar, red pepper, salt). contains: shellfish (shrimp), soy.",
"Healthy Choice Cafe Steamers Frozen Dinner, Homestyle Chicken & Potatoes, 9.9 Ounce, 9.9 OZ",,"Russet potatoes, cooked chicken (chicken breast, water, olive oil, contains 2% or less of: isolated soy protein product [isolated soy protein, modified potato starch, corn starch, carrageenan, soy lecithin], dextrose, potassium chloride, salt, sodium phosphates, flavoring), water, carrots, corn, green beans, onions, chardonnay wine, contains 2% or less of: chicken type flavor (contains chicken broth, maltodextrin, turkey broth, rendered chicken fat, salt, yeast extract, cooked chicken, turkey fat, turkey meat, cottonseed oil, mushroom powder, flavor, disodium inosinate and guanylate), modified corn starch, mirepoix (sautã‰ed vegetable purees [carrots, celery and onions], sugar, salt, soybean oil, maltodextrin, modified corn starch, natural flavoring), soybean oil, chicken seasoning (chicken flavor [contains salt, chicken broth, sugar, rendered chicken fat, autolyzed yeast extract, maltodextrin, disodium inosinate and guanylate], hydrolyzed soy protein, cooked chicken, modified corn starch, turmeric, flavorings), nonfat dry milk, salt, black pepper, xanthan gum, sage, guar gum. contains: milk, soy.",
"HEALTHY CHOICE Bean and Ham Soup, 15 OZ",,"Water, Prepared Navy Beans (Navy Beans, Water), Carrots, Ham Water Added (Cured With Water, Salt, Dextrose, Carrageenan, Sodium Phosphate, Sodium Erythorbate, Smoke Flavor, Sodium Nitrite), Prepared Red Beans (Red Beans, Water), Potatoes (Potatoes, Sodium Acid Pyrophosphate), Celery, Less Than 2% Of: Modified Corn Starch, Brown Sugar, Bleached Wheat Flour, Bacon Fat, Flavors, Salt, Potassium Chloride, Pork Stock, Ham Flavor, Beef Stock, Chicken Flavor, Yeast Extract, Chicken Broth, Natural Smoke Flavor, Disodium Inosinate And Guanylate, Citric Acid, Caramel Color. CONTAINS: WHEAT. MAY CONTAIN: SOY.",
"Healthy Choice Cafe Steamers Frozen Dinner, Tortellini Primavera Parmesan, 9.5 Ounce, 9.5 OZ",,"Cooked cheese tortellini (water, whole grain wheat flour [ultragrainâ®], durum wheat flour, ricotta cheese [pasteurized whey, milk fat, milk], parmesan cheese [pasteurized part skim milk, cheese culture, salt, enzymes], romano cheese [pasteurized cow's milk, cheese culture, salt, enzymes], baked wheat flour [wheat flour, sugar, soybean oil, yeast], whole eggs, provolone cheese [pasteurized whole milk, cheese culture, salt, enzymes], salt, black pepper), water, tomatoes, zucchini, red bell peppers, carrots, tomato puree, tomato paste, contains 2% or less of: onions, olive oil, sugar, modified corn starch, garlic, parmesan cheese (part skim milk, cheese culture, salt, enzymes), spices, salt, citric acid. contains: egg, milk, wheat.",
"HEALTHY CHOICE Chicken Noodle Soup, 15 OZ",ConAgra Foods,"Chicken Broth, Cooked Chicken (White Meat Chicken, Water, Modified Rice Starch, Isolated Soy Protein, Salt, Sodium Phosphates), Carrots, Enriched Egg Noodles (Durum Wheat Semolina, Whole Egg, Egg White, Niacin, Iron [Ferrous Sulfate], Thiamine Mononitrate, Riboflavin, Folic Acid), Celery, Less Than 2% Of: Modified Corn Starch, Flavorings, Potassium Chloride, Yeast Extract, Salt, Sugar, Rendered Chicken Fat, Chicken Fat, Chicken Powder, Lactic Acid, Malic Acid, Beta Carotene.CONTAINS: WHEAT, SOY, EGG.",
"HEALTHY CHOICE Microwaveable Chicken Tortilla Soup, 14 OZ",,"Chicken Broth, Cooked Corn Noodles (Water, Enriched Wheat Flour [Wheat Flour, Malted Barley Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid], Eggs, Ground Yellow Corn Flour, Corn Meal, Monoglycerides), Prepared Black Beans (Black Beans, Water), Cooked Chicken (White Meat Chicken, Water, Modified Rice Starch, Isolated Soy Protein, Salt, Sodium Phosphates), Tomatoes With Juice, Tomato Paste, Corn, Green Bell Pepper, Green Chilies, Less Than 2% Of: Modified Corn Starch, Masa Flour, Salt, Turkey Broth, Flavor, Spice, Potassium Chloride, Rendered Chicken Fat, Autolyzed Yeast Extract, Cooked Chicken, Disodium Inosinate and Guanylate, Dried Jalapeno Peppers, Paprika, Citric Acid, Calcium Chloride, Chicken Flavor, Mushroom Powder, Turkey Fat, Turkey Meat, Dried Onions, Sugar.CONTAINS: WHEAT, EGG, SOY.",
"HEALTHY CHOICE Chicken And Rice Soup, 15 OZ",ConAgra Foods,"Chicken Broth, Cooked Chicken (White Meat Chicken, Water, Modified Rice Starch, Isolated Soy Protein, Salt, Sodium Phosphates), Carrots, White Rice, Celery, Less Than 2% Of: Modified Corn Starch, Rendered Chicken Fat, Flavorings, Salt, Potassium Chloride, Mixed Triglycerides, Yeast Extract, Chicken Fat, Malic Acid, Sugar, Beta Carotene, Turmeric.CONTAINS: SOY.",
"HEALTHY CHOICE Simply Cafe Steamers Asian Kung Pao Chicken, 9.5 OZ",,"Vegetables (edamame, red bell peppers, water chestnuts). kung pao sauce (water, sugar, rice vinegar, soy sauce [water, wheat, soybeans, salt, alcohol, vinegar, lactic acid], corn starch, oyster sauce [water, sugar, salt, oyster extractives {oyster, water, salt}, corn starch], garlic, sesame seed oil, contains 2% or less of: cooking wine [white wine, natural flavor, salt], ginger, chili paste [red chili peppers, distilled vinegar, salt, xanthan gum], canola oil). cooked rice (water, brown rice). seasoned cooked chicken (chicken breast, water, sugar, sea salt, olive oil, isolated soy protein, soy fiber, rice starch, natural flavoring). contains: soy, wheat.",
"HEALTHY CHOICE Hearty Chicken Soup, 15 OZ",,"Chicken Broth, Carrots, Cooked Chicken (White Meat Chicken, Water, Modified Rice Starch, Isolated Soy Protein, Salt, Sodium Phosphates), Cooked Noodles (Enriched Egg Noodles [Durum Wheat Semolina, Whole Egg, Egg White, Niacin, Iron {Ferrous Sulfate}, Thiamine Mononitrate, Riboflavin, Folic Acid], Water), Celery, Potatoes (Potatoes, Sodium Acid Pyrophosphate), Tomatoes With Juice, Corn, Less Than 2% Of: Green Beans, Modified Corn Starch, Peas, Flavor, Salt, Rendered Chicken Fat, Turkey Broth, Potassium Chloride, Autolyzed Yeast Extract, Turkey Fat, Turkey Meat, Spice, Cooked Chicken, Disodium Inosinate And Guanylate, Citric Acid, Chicken Flavor, Mushroom Powder, Calcium Chloride, Turmeric, Sugar, Gum Acacia, Beta Carotene. CONTAINS: EGG, SOY, WHEAT.",
"HEALTHY CHOICE Herb Crusted Fish, 11 OZ",,"Breaded herb crusted fish (pollock, enriched wheat flour [bleached and unbleached wheat flour, niacin, ferrous sulfate {iron}, thiamine mononitrate, riboflavin, folic acid], water, contains 2% or less of: soybean oil, modified corn starch, spices, sugar, salt, yellow corn flour, white corn flour, garlic powder, egg whites, onion powder, yeast, leavening [sodium acid pyrophosphate, sodium bicarbonate], dextrose, soy flour, natural flavor, yeast extract, caramel color, torula yeast, dehydrated garlic, extractives of paprika [color], olive oil, canola oil), cooked pasta (water, pasta [whole grain wheat flour {ultragrainã‚â®}, durum wheat semolina, egg whites], olive oil), green beans, water, carrots, tomatoes, contains 2% or less of: chardonnay wine, corn starch, garlic puree (garlic, dried cane syrup), olive oil, basil puree (basil, garlic, dried cane syrup, olive oil, sea salt), parmesan cheese (part skim milk, cheese culture, salt, enzymes), onion puree (onion, dried cane syrup, sea salt), sugar, whey, sea salt, lemon juice concentrate, natural flavor (natural flavor, maltodextrin, fructose), spice, garlic powder, dried onion, dried red bell pepper, soybean oil. contains: egg, fish (pollock), milk, soy, wheat.",
"HEALTHY CHOICE Beef And Broccoli, 11 OZ",,"Cooked rice (water, white rice), water, seasoned cooked beef strips and binder product (beef, water, contains 2% or less of: caramel color, dextrose, seasoning [natural flavor, salt, maltodextrin, dried whey, dried cauliflower, sesame oil], modified corn starch, potassium chloride, potassium phosphate, salt, sodium phosphate, spice extractives), broccoli, soy sauce (water, wheat, soybeans, salt, alcohol, vinegar, lactic acid), contains 2% or less of: onions, red bell pepper, brown sugar, modified corn starch, beef tallow (contains bht & citric acid added to help protect flavor), beef flavor (contains beef extract, yeast extract, salt, maltodextrin, flavor, lactic acid, citric acid), garlic, rice vinegar, ginger, sea salt, sesame oil, celery seed, black pepper. contains: milk, soy, wheat.",
"HEALTHY CHOICE Four Cheese Tortellini, 12 OZ",,"Cooked four cheese tortellini (water, whole grain wheat flour [ultragrainã‚â®], durum wheat flour, ricotta cheese [pasteurized whey, milk fat, milk], parmesan cheese [pasteurized part skim milk, cheese culture, salt, enzymes], romano cheese made from cow's milk [pasteurized milk, cheese culture, salt, enzymes], baked wheat flour [wheat flour, sugar, soybean oil, yeast], whole eggs, provolone cheese [pasteurized whole milk, cheese culture, salt, enzymes], salt, black pepper), green beans, water, diced tomatoes in juice, tomato paste, reduced fat mozzarella cheese (pasteurized milk, nonfat milk, cheese culture, modified corn starch*, salt, sodium citrate*, flavors*, vitamin a palmitate, enzymes *[ingredients not found in regular mozzarella cheese]), contains 2% or less of: tomato flavor (sautãƒâ‰ed fire roasted tomatoes, maltodextrin, tomato paste, corn syrup, salt, corn oil, modified corn starch, tomato flavor [tomato powder, maltodextrin, natural flavor, gum arabic, citric acid, beet powder {color}], sugar), spices, sugar, cheese flavor (granular and parmesan cheese [pasteurized milk, cheese culture, salt, enzymes], water, salt, lactic acid, citric acid), modified corn starch, olive oil, crushed garlic (garlic, citric acid), sautãƒâ‰ed diced onions (dehydrated onion, safflower oil, onion flavor [gum arabic, natural flavor, rice concentrate, maltodextrin], caramel color), salt. contains: egg, milk, wheat.",
"HEALTHY CHOICE Grilled Chicken Barbeque Complete Meal, 10.5 OZ",,"Corn, cooked chicken (white meat chicken, water, olive oil, contains 2% or less of: isolated soy protein product [isolated soy protein, modified potato starch, corn starch, carrageenan, soy lecithin], dextrose, potassium chloride, salt, sodium phosphates, flavoring), mashed potatoes (rehydrated potato flakes and granules [water, potatoes, mono - and diglycerides, disodium dihydrogen pyrophosphate, citric acid, sodium bisulfite and bht], canola oil, flavoring [mixed triglycerides, natural flavoring, modified corn starch], salt, sugar, black pepper), water, apples (citric and ascorbic acid to retain color), brown sugar, molasses, barbecue seasoning (brown sugar, sugar, molasses, worcestershire sauce powder [corn syrup, salt, caramel color, garlic, sugar, spices, soy sauce {naturally fermented wheat and soybean, salt, maltodextrin, caramel color}, palm oil, tamarind, natural flavor], maltodextrin, sodium diacetate, spices including paprika and turmeric, natural smoke flavor [contains maltodextrin], citric acid, lactose, dehydrated onion and garlic), tomato paste, contains 2% or less of: corn syrup, whiskey flavor (water, whiskey, salt), modified corn starch, nonfat dry milk (nonfat dry milk, vitamin a, vitamin d), acetylated monoglycerides, red wine vinegar, dried garlic, salt, wheat flour, butter flavor (maltodextrin, milk fat anhydrous, modified corn starch, medium chain triglycerides, enzyme-modified butter fat, natural flavor), whey, sweet cream powder (cream, nonfat milk, sodium caseinate), locust bean gum, potassium chloride, vanilla flavor (water, propylene glycol, ethyl alcohol, natural and artificial flavors, corn syrup, caramel color), sugar, caramel flavor (propylene glycol, ethyl alcohol, natural flavors, artificial flavors, water), black pepper, caramel color. contains: milk, soy, wheat.",
